data_processamento,nome_original,nome_final,categoria,url_cdn,dim_originais,dim_finais,kb_finais,hash_md5,status
2026-05-22T17:15:32,shared/hosts-marcio-tereza-brinde-vale.jpg,hosts-marcio-tereza-brinde-vale.jpg,shared,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/shared/hosts-marcio-tereza-brinde-vale.jpg,1126x2000,788x1400,132,1448a55caa890e1d5181a339b79d38c3,reprocessado
2026-05-22T17:15:32,shared/marcio-tereza-anfitrioes-recanto.jpg,marcio-tereza-anfitrioes-recanto.jpg,shared,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/shared/marcio-tereza-anfitrioes-recanto.jpg,1126x2000,788x1400,124,41ce18917082e80a03390109d324322a,reprocessado
2026-05-22T17:15:32,shared/familia-costas-vale-recanto.jpg,familia-costas-vale-recanto.jpg,shared,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/shared/familia-costas-vale-recanto.jpg,1126x2000,788x1400,111,a588d36b4f47d0943f7b578bf4b7e90f,reprocessado
2026-05-22T17:15:32,property/vale-amanhecer-drone-junho.jpg,vale-amanhecer-drone-junho.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/vale-amanhecer-drone-junho.jpg,2000x1126,1400x788,90,029c07026a936319a822f1610f5cd549,reprocessado
2026-05-22T17:15:32,property/pordosol-vale-drone-aereo.jpg,pordosol-vale-drone-aereo.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/pordosol-vale-drone-aereo.jpg,2000x1126,1400x788,90,f20dde858fa42dbae0aa8a8e21cc22f5,reprocessado
2026-05-22T17:15:33,property/vale-vista-drone-tranquilidade.jpg,vale-vista-drone-tranquilidade.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/vale-vista-drone-tranquilidade.jpg,2000x1126,1400x788,91,a3bd4d6c9d4f56e45e6c98711f74efcb,reprocessado
2026-05-22T17:15:33,property/vale-paz-amanhecer-drone.jpg,vale-paz-amanhecer-drone.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/vale-paz-amanhecer-drone.jpg,2000x1126,1400x788,74,8ea724011e168a7dbb1661839b582cb7,reprocessado
2026-05-22T17:15:33,property/sunset-banco-vale-drone.jpg,sunset-banco-vale-drone.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/sunset-banco-vale-drone.jpg,1126x2000,788x1400,239,fcdd0f6abdc3ba482636fc6de70b3aae,reprocessado
2026-05-22T17:15:33,property/golden-hour-drone-vale.jpg,golden-hour-drone-vale.jpg,ambiente,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/property/golden-hour-drone-vale.jpg,1126x2000,788x1400,108,0e5ad72f8c852e2ee2627fbf9188fe3b,reprocessado
2026-05-22T17:15:34,food/pao-fermentacao-arvore-vale.jpg,pao-fermentacao-arvore-vale.jpg,food,https://cdn.statically.io/gh/marcelohralves-cell/Rep1/main/images/food/pao-fermentacao-arvore-vale.jpg,1126x2000,788x1400,98,c37b6e4ca6d5e7d852096e8c61cf7245,reprocessado
